company,type,status,roles_found,detail
Winthrop Technologies Limited,html,FAIL,0,HTTP 404
Wipro Limited - Irish Branch,html,OK,0,119 links scanned
Workday Limited,html,EMPTY,0,few/no server-side links (JS-rendered?)
Workvivo Limited,html,OK,0,148 links scanned
WSP Ireland Consulting Limited,html,FAIL,0,HTTP 403
WuXi Biologics Ireland Limited,html,FAIL,0,"HTTPSConnectionPool(host='careers.wuxibiologics.com', port=4"
Yahoo EMEA Limited,html,OK,0,64 links scanned
Zalando Ireland Limited,html,OK,0,44 links scanned
Zendesk International Limited,greenhouse,FAIL,0,HTTP 404
Zoetis Belgium S.A.,html,OK,0,171 links scanned
Zurich Insurance Company Ltd,html,OK,0,87 links scanned
Zyte Group Limited,html,OK,0,105 links scanned
